rank,method,conf,nms_iou,merge_distance,n_images,mean_boxes,std_boxes,median_boxes,mean_area,mean_text_coverage,mean_overlap_ratio,mean_empty_boxes,mean_empty_ratio,mean_tiny_boxes,mean_tiny_ratio,mean_duplicates,total_duplicates,mean_time_ms,score
55,doclayout,0.20,0.40,15,18,7.33,3.34,7.00,118114.96,0.55,0.07,0.00,0.00,0.17,0.03,0.11,2,17408.60,51.32
56,doclayout,0.10,0.50,10,18,10.83,4.91,11.00,90300.84,0.57,0.13,0.00,0.00,0.33,0.03,0.28,5,17574.71,51.01
57,doclayout,0.20,0.50,5,18,12.94,6.13,11.50,56378.98,0.54,0.06,0.00,0.00,0.50,0.04,0.22,4,18148.88,50.87
58,doclayout,0.20,0.50,15,18,7.33,3.34,7.00,120405.92,0.55,0.09,0.00,0.00,0.17,0.03,0.11,2,16944.65,50.85
59,doclayout,0.10,0.50,15,18,7.72,3.44,8.00,136956.18,0.57,0.13,0.00,0.00,0.17,0.03,0.28,5,16700.62,50.81
60,doclayout,0.20,0.50,10,18,9.94,4.52,11.00,80242.43,0.55,0.08,0.00,0.00,0.33,0.03,0.17,3,18872.78,50.75
61,doclayout,0.30,0.30,20,18,6.00,3.45,6.00,137814.49,0.53,0.05,0.00,0.00,0.17,0.04,0.00,0,16908.93,50.58
62,doclayout,0.30,0.60,20,18,6.28,3.48,6.50,134141.91,0.53,0.06,0.00,0.00,0.17,0.04,0.00,0,17068.88,50.54
63,doclayout,0.30,0.40,20,18,6.11,3.45,6.00,134333.18,0.53,0.05,0.00,0.00,0.17,0.04,0.00,0,18461.43,50.53
64,doclayout,0.30,0.50,20,18,6.17,3.45,6.00,133513.22,0.53,0.05,0.00,0.00,0.17,0.04,0.00,0,17118.20,50.47
65,doclayout,0.30,0.30,15,18,6.61,3.48,7.00,115460.08,0.52,0.05,0.00,0.00,0.17,0.04,0.00,0,17529.29,49.98
66,doclayout,0.20,0.60,20,18,7.00,3.33,7.00,140011.92,0.55,0.13,0.00,0.00,0.17,0.03,0.11,2,16488.37,49.98
67,doclayout,0.30,0.30,10,18,8.94,4.36,9.50,76203.01,0.52,0.04,0.00,0.00,0.33,0.05,0.00,0,17191.12,49.96
68,doclayout,0.30,0.30,5,18,11.89,5.78,11.50,50679.41,0.51,0.02,0.00,0.00,0.50,0.06,0.06,1,17062.26,49.94
69,doclayout,0.30,0.40,15,18,6.72,3.48,7.00,112472.72,0.52,0.05,0.00,0.00,0.17,0.04,0.00,0,18614.07,49.93
70,doclayout,0.30,0.60,15,18,6.78,3.47,7.00,115772.53,0.53,0.06,0.00,0.00,0.17,0.04,0.00,0,18506.36,49.92
71,doclayout,0.30,0.50,15,18,6.72,3.48,7.00,113268.21,0.52,0.05,0.00,0.00,0.17,0.04,0.00,0,20722.19,49.87
72,doclayout,0.30,0.40,10,18,9.06,4.43,10.00,75386.19,0.52,0.04,0.00,0.00,0.33,0.05,0.00,0,17992.31,49.84
73,doclayout,0.30,0.40,5,18,12.00,5.91,11.50,50544.86,0.51,0.02,0.00,0.00,0.50,0.06,0.06,1,16601.17,49.81
74,doclayout,0.10,0.60,20,18,7.44,3.48,8.00,163215.53,0.58,0.18,0.00,0.00,0.17,0.03,0.33,6,15534.59,49.78
75,doclayout,0.30,0.60,10,18,9.17,4.54,10.00,78160.63,0.52,0.06,0.00,0.00,0.33,0.05,0.06,1,18064.81,49.63
76,doclayout,0.20,0.60,10,18,10.00,4.60,10.50,85760.56,0.55,0.12,0.00,0.00,0.33,0.03,0.17,3,16647.51,49.58
77,doclayout,0.30,0.50,10,18,9.11,4.47,10.00,75354.76,0.52,0.04,0.00,0.00,0.33,0.05,0.06,1,17289.71,49.57
78,doclayout,0.30,0.50,5,18,12.06,6.00,11.50,50627.58,0.51,0.02,0.00,0.00,0.50,0.06,0.11,2,18518.47,49.54
79,doclayout,0.10,0.60,10,18,10.94,5.10,11.00,95599.72,0.57,0.16,0.00,0.00,0.33,0.03,0.33,6,17808.66,49.43
80,doclayout,0.30,0.60,5,18,12.17,6.15,11.50,51311.30,0.52,0.03,0.00,0.00,0.50,0.06,0.17,3,16768.22,49.43
81,doclayout,0.20,0.60,15,18,7.50,3.38,7.50,126218.04,0.55,0.13,0.00,0.00,0.17,0.03,0.11,2,16515.17,49.36
82,doclayout,0.20,0.60,5,18,13.17,6.35,12.00,57996.97,0.54,0.09,0.00,0.00,0.50,0.04,0.39,7,16943.71,49.15
83,doclayout,0.10,0.60,5,18,14.33,6.89,13.00,61779.98,0.56,0.14,0.00,0.00,0.61,0.04,0.50,9,17129.02,49.12
84,doclayout,0.10,0.60,15,18,7.94,3.54,9.00,142679.37,0.57,0.18,0.00,0.00,0.17,0.03,0.33,6,17609.31,49.03
85,doclayout,0.40,0.60,20,18,5.83,3.52,5.50,147511.88,0.51,0.05,0.00,0.00,0.17,0.05,0.00,0,17054.78,48.29
86,doclayout,0.40,0.40,20,18,5.67,3.51,5.00,149504.60,0.50,0.04,0.00,0.00,0.17,0.05,0.00,0,17268.71,48.28
87,doclayout,0.40,0.30,20,18,5.61,3.50,5.00,151071.84,0.50,0.04,0.00,0.00,0.17,0.05,0.00,0,16777.32,48.28
88,doclayout,0.40,0.50,20,18,5.72,3.51,5.50,148236.94,0.50,0.04,0.00,0.00,0.17,0.05,0.00,0,17083.27,48.23
89,doclayout,0.40,0.30,15,18,6.17,3.68,5.50,121520.74,0.50,0.04,0.00,0.00,0.17,0.05,0.00,0,17404.43,47.79
90,doclayout,0.40,0.40,15,18,6.22,3.70,5.50,120447.45,0.50,0.04,0.00,0.00,0.17,0.05,0.00,0,18340.79,47.79
91,doclayout,0.40,0.60,15,18,6.28,3.68,5.50,122526.09,0.50,0.05,0.00,0.00,0.17,0.05,0.00,0,16927.03,47.78
