Timestamp,Message
2025-10-27 17:36:18.331567,"IA 1 (EASY): Disparo a Rival 2 en (3, 3) - Agua"
2025-10-27 17:36:19.132805,"IA 2 (EASY): Disparo a Jugador en (2, 1) - Agua"
2025-10-27 17:36:20.295269,"Jugador: Disparo a Rival 1 en (5, 6) - Agua"
2025-10-27 17:36:21.096857,"IA 1 (EASY): Disparo a Rival 2 en (1, 0) - Agua"
2025-10-27 17:36:21.898052,"IA 2 (EASY): Disparo a Rival 1 en (4, 1) - Agua"
2025-10-27 17:36:45.113179,"Jugador: Disparo a Rival 1 en (8, 1) - Agua"
2025-10-27 17:36:45.915644,"IA 1 (EASY): Disparo a Jugador en (0, 7) - Agua"
2025-10-27 17:36:46.717930,"IA 2 (EASY): Disparo a Rival 1 en (2, 3) - Agua"
2025-10-27 17:36:47.728457,"Jugador: Disparo a Rival 1 en (6, 1) - Agua"
2025-10-27 17:36:48.530685,"IA 1 (EASY): Disparo a Jugador en (1, 5) - Agua"
2025-10-27 17:36:49.332786,"IA 2 (EASY): Disparo a Jugador en (7, 9) - Agua"
2025-10-27 17:36:50.861046,"Jugador: Disparo a Rival 1 en (7, 1) - Agua"
2025-10-27 17:36:51.663840,"IA 1 (EASY): Disparo a Jugador en (2, 9) - Agua"
2025-10-27 17:36:52.465463,"IA 2 (EASY): Disparo a Jugador en (0, 4) - Agua"
2025-10-27 17:36:55.897980,"Jugador: Disparo a Rival 2 en (7, 2) - Agua"
2025-10-27 17:36:56.700065,"IA 1 (EASY): Disparo a Rival 2 en (5, 1) - Agua"
2025-10-27 17:36:57.502254,"IA 2 (EASY): Disparo a Jugador en (0, 1) - Agua"
2025-10-27 17:36:59.212146,"Jugador: Disparo a Rival 2 en (9, 1) - Agua"
2025-10-27 17:37:00.014703,"IA 1 (EASY): Disparo a Jugador en (3, 0) - Agua"
2025-10-27 17:37:00.814925,"IA 2 (EASY): Disparo a Jugador en (9, 9) - Agua"
2025-10-27 17:37:05.763139,"Jugador: Disparo a Rival 1 en (6, 2) - Agua"
2025-10-27 17:37:06.565625,"IA 1 (EASY): Disparo a Rival 2 en (7, 4) - Agua"
2025-10-27 17:37:07.366418,"IA 2 (EASY): Disparo a Jugador en (3, 4) - Agua"
2025-10-27 17:37:09.006989,"Jugador: Disparo a Rival 2 en (5, 3) - Agua"
2025-10-27 17:37:09.808649,"IA 1 (EASY): Disparo a Jugador en (1, 7) - Agua"
2025-10-27 17:37:10.610333,"IA 2 (EASY): Disparo a Jugador en (6, 8) - Agua"
2025-10-27 17:37:12.228314,"Jugador: Disparo a Rival 2 en (3, 1) - Agua"
2025-10-27 17:37:13.030413,"IA 1 (EASY): Disparo a Rival 2 en (3, 4) - Tocado"
2025-10-27 17:37:13.832531,"IA 2 (EASY): Disparo a Rival 1 en (7, 8) - Agua"
2025-10-27 17:37:15.671768,"Jugador: Disparo a Rival 2 en (3, 5) - Agua"
2025-10-27 17:37:16.473303,"IA 1 (EASY): Disparo a Rival 2 en (0, 7) - Tocado"
2025-10-27 17:37:17.274531,"IA 2 (EASY): Disparo a Rival 1 en (6, 4) - Tocado"
2025-10-27 17:37:30.684573,"Jugador: Disparo a Rival 2 en (4, 4) - Tocado"
2025-10-27 17:37:31.484730,"IA 1 (EASY): Disparo a Rival 2 en (7, 6) - Agua"
2025-10-27 17:37:32.287486,"IA 2 (EASY): Disparo a Rival 1 en (4, 5) - Agua"
2025-10-27 17:37:35.873512,"Jugador: Disparo a Rival 2 en (5, 4) - Tocado"
2025-10-27 17:37:36.674646,"IA 1 (EASY): Disparo a Jugador en (6, 4) - Agua"
2025-10-27 17:37:37.477599,"IA 2 (EASY): Disparo a Jugador en (9, 4) - Agua"
2025-10-27 17:37:38.769346,"Jugador: Disparo a Rival 2 en (6, 4) - Tocado"
2025-10-27 17:37:39.571821,"IA 1 (EASY): Disparo a Rival 2 en (4, 6) - Tocado"
2025-10-27 17:37:40.373334,"IA 2 (EASY): Disparo a Rival 1 en (2, 6) - Agua"
2025-10-27 17:37:41.673684,"Jugador: Disparo a Rival 2 en (2, 4) - Hundido"
2025-10-27 17:37:42.474853,"IA 1 (EASY): Disparo a Jugador en (2, 3) - Agua"
2025-10-27 17:37:43.276382,"IA 2 (EASY): Disparo a Rival 1 en (5, 5) - Agua"
2025-10-27 17:37:44.587008,"Jugador: Disparo a Rival 2 en (4, 7) - Agua"
2025-10-27 17:37:45.388202,"IA 1 (EASY): Disparo a Jugador en (5, 8) - Agua"
2025-10-27 17:37:46.189335,"IA 2 (EASY): Disparo a Rival 1 en (6, 6) - Tocado"
2025-10-27 17:37:47.517942,"Jugador: Disparo a Rival 2 en (5, 6) - Tocado"
2025-10-27 17:37:48.320126,"IA 1 (EASY): Disparo a Jugador en (1, 2) - Agua"
2025-10-27 17:37:49.121521,"IA 2 (EASY): Disparo a Rival 1 en (3, 2) - Agua"
2025-10-27 17:37:49.824999,"Jugador: Disparo a Rival 2 en (6, 6) - Hundido"
2025-10-27 17:37:50.626069,"IA 1 (EASY): Disparo a Rival 2 en (0, 2) - Agua"
2025-10-27 17:37:51.427361,"IA 2 (EASY): Disparo a Rival 1 en (3, 7) - Tocado"
2025-10-27 17:37:52.171538,"Jugador: Disparo a Rival 2 en (3, 6) - Agua"
2025-10-27 17:37:52.972854,"IA 1 (EASY): Disparo a Rival 2 en (7, 7) - Agua"
2025-10-27 17:37:53.774278,"IA 2 (EASY): Disparo a Jugador en (6, 9) - Tocado"
2025-10-27 17:37:54.063544,"Jugador: Disparo a Rival 2 en (0, 8) - Tocado"
2025-10-27 17:37:54.864859,"IA 1 (EASY): Disparo a Jugador en (0, 9) - Agua"
2025-10-27 17:37:55.664989,"IA 2 (EASY): Disparo a Rival 1 en (8, 4) - Tocado"
2025-10-27 17:37:56.489269,"Jugador: Disparo a Rival 2 en (0, 9) - Hundido"
2025-10-27 17:37:57.289496,"IA 1 (EASY): Disparo a Rival 2 en (1, 8) - Agua"
2025-10-27 17:37:58.091451,"IA 2 (EASY): Disparo a Rival 1 en (3, 0) - Agua"
2025-10-27 17:38:01.244073,"Jugador: Disparo a Rival 1 en (8, 3) - Agua"
2025-10-27 17:38:02.046363,"IA 1 (EASY): Disparo a Jugador en (4, 4) - Tocado"
2025-10-27 17:38:02.846502,"IA 2 (EASY): Disparo a Jugador en (9, 0) - Agua"
2025-10-27 17:38:03.861572,"Jugador: Disparo a Rival 1 en (9, 4) - Agua"
2025-10-27 17:38:04.663719,"IA 1 (EASY): Disparo a Jugador en (3, 9) - Agua"
2025-10-27 17:38:05.464825,"IA 2 (EASY): Disparo a Rival 1 en (1, 7) - Agua"
2025-10-27 17:38:06.100676,"Jugador: Disparo a Rival 1 en (8, 5) - Tocado"
2025-10-27 17:38:06.902418,"IA 1 (EASY): Disparo a Jugador en (6, 1) - Tocado"
2025-10-27 17:38:07.704732,"IA 2 (EASY): Disparo a Jugador en (7, 5) - Agua"
2025-10-27 17:38:17.339461,"Jugador: Disparo a Rival 1 en (6, 3) - Agua"
2025-10-27 17:38:18.142706,"IA 1 (EASY): Disparo a Jugador en (1, 4) - Agua"
2025-10-27 17:38:18.943887,"IA 2 (EASY): Disparo a Jugador en (9, 1) - Agua"
2025-10-27 17:38:20.349718,"Jugador: Disparo a Rival 1 en (6, 5) - Tocado"
2025-10-27 17:38:21.151941,"IA 1 (EASY): Disparo a Rival 2 en (9, 8) - Agua"
2025-10-27 17:38:21.953569,"IA 2 (EASY): Disparo a Rival 1 en (1, 1) - Agua"
2025-10-27 17:38:22.686259,"Jugador: Disparo a Rival 1 en (6, 7) - Tocado"
2025-10-27 17:38:23.489316,"IA 1 (EASY): Disparo a Rival 2 en (0, 5) - Agua"
2025-10-27 17:38:24.290614,"IA 2 (EASY): Disparo a Rival 1 en (5, 7) - Agua"
2025-10-27 17:38:28.612223,"Jugador: Disparo a Rival 1 en (6, 8) - Hundido"
2025-10-27 17:38:29.413490,"IA 1 (EASY): Disparo a Jugador en (0, 6) - Agua"
2025-10-27 17:38:30.214730,"IA 2 (EASY): Disparo a Rival 1 en (5, 9) - Agua"
2025-10-27 17:38:31.829440,"Jugador: Disparo a Rival 1 en (8, 6) - Hundido"
2025-10-27 17:38:32.632077,"IA 1 (EASY): Disparo a Rival 2 en (6, 7) - Agua"
2025-10-27 17:38:33.433373,"IA 2 (EASY): Disparo a Rival 1 en (7, 5) - Agua"
2025-10-27 17:38:34.210616,"Jugador: Disparo a Rival 1 en (8, 7) - Agua"
2025-10-27 17:38:35.013416,"IA 1 (EASY): Disparo a Rival 2 en (9, 7) - Agua"
2025-10-27 17:38:35.814566,"IA 2 (EASY): Disparo a Jugador en (5, 7) - Agua"
2025-10-27 17:38:41.443559,"Jugador: Disparo a Rival 1 en (3, 8) - Agua"
2025-10-27 17:38:42.244552,"IA 1 (EASY): Disparo a Rival 2 en (8, 6) - Agua"
2025-10-27 17:38:43.048031,"IA 2 (EASY): Disparo a Jugador en (6, 0) - Agua"
2025-10-27 17:38:43.517417,"Jugador: Disparo a Rival 1 en (4, 7) - Agua"
2025-10-27 17:38:44.318675,"IA 1 (EASY): Disparo a Rival 2 en (3, 2) - Agua"
2025-10-27 17:38:45.122010,"IA 2 (EASY): Disparo a Jugador en (8, 8) - Agua"
2025-10-27 17:38:49.572426,"Jugador: Disparo a Rival 1 en (3, 6) - Agua"
2025-10-27 17:38:50.373619,"IA 1 (EASY): Disparo a Jugador en (2, 5) - Tocado"
2025-10-27 17:38:51.174792,"IA 2 (EASY): Disparo a Jugador en (8, 3) - Agua"
2025-10-27 17:38:52.190945,"Jugador: Disparo a Rival 1 en (2, 7) - Hundido"
2025-10-27 17:38:52.993204,"IA 1 (EASY): Disparo a Jugador en (9, 6) - Agua"
2025-10-27 17:38:53.794519,"IA 2 (EASY): Disparo a Jugador en (5, 9) - Tocado"
2025-10-27 17:39:16.667806,"Jugador: Disparo a Rival 2 en (0, 1) - Agua"
2025-10-27 17:39:17.468465,"IA 1 (EASY): Disparo a Jugador en (5, 1) - Agua"
2025-10-27 17:39:18.271148,"IA 2 (EASY): Disparo a Jugador en (3, 8) - Agua"
2025-10-27 17:39:19.225658,"Jugador: Disparo a Rival 2 en (1, 1) - Agua"
2025-10-27 17:39:20.026400,"IA 1 (EASY): Disparo a Jugador en (4, 0) - Agua"
2025-10-27 17:39:20.826935,"IA 2 (EASY): Disparo a Jugador en (5, 4) - Agua"
2025-10-27 17:39:38.762570,"Jugador: Disparo a Rival 2 en (0, 3) - Agua"
2025-10-27 17:39:39.564960,"IA 1 (EASY): Disparo a Rival 2 en (2, 3) - Agua"
2025-10-27 17:39:40.365626,"IA 2 (EASY): Disparo a Rival 1 en (1, 6) - Agua"
2025-10-27 17:39:42.078712,"Jugador: Disparo a Rival 2 en (9, 4) - Agua"
2025-10-27 17:39:42.882111,"IA 1 (EASY): Disparo a Rival 2 en (8, 7) - Agua"
2025-10-27 17:39:43.683403,"IA 2 (EASY): Disparo a Jugador en (8, 5) - Agua"
2025-10-27 17:39:45.300857,"Jugador: Disparo a Rival 2 en (9, 3) - Agua"
2025-10-27 17:39:46.102963,"IA 1 (EASY): Disparo a Rival 2 en (6, 1) - Agua"
2025-10-27 17:39:46.903276,"IA 2 (EASY): Disparo a Rival 1 en (2, 1) - Agua"
2025-10-27 17:39:47.854544,"Jugador: Disparo a Rival 2 en (9, 5) - Agua"
2025-10-27 17:39:48.656838,"IA 1 (EASY): Disparo a Rival 2 en (1, 3) - Agua"
2025-10-27 17:39:49.458970,"IA 2 (EASY): Disparo a Jugador en (1, 1) - Agua"
2025-10-27 17:39:53.919466,"Jugador: Disparo a Rival 2 en (6, 9) - Tocado"
2025-10-27 17:39:54.721325,"IA 1 (EASY): Disparo a Jugador en (3, 5) - Agua"
2025-10-27 17:39:55.521895,"IA 2 (EASY): Disparo a Jugador en (9, 2) - Agua"
2025-10-27 17:39:56.117390,"Jugador: Disparo a Rival 2 en (7, 9) - Agua"
2025-10-27 17:39:56.918637,"IA 1 (EASY): Disparo a Rival 2 en (4, 2) - Agua"
2025-10-27 17:39:57.719885,"IA 2 (EASY): Disparo a Rival 1 en (0, 6) - Agua"
2025-10-27 17:39:59.871856,"Jugador: Disparo a Rival 2 en (5, 9) - Tocado"
2025-10-27 17:40:00.674650,"IA 1 (EASY): Disparo a Jugador en (3, 7) - Agua"
2025-10-27 17:40:01.475721,"IA 2 (EASY): Disparo a Rival 1 en (7, 2) - Agua"
2025-10-27 17:40:02.081384,"Jugador: Disparo a Rival 2 en (4, 9) - Tocado"
2025-10-27 17:40:02.882969,"IA 1 (EASY): Disparo a Jugador en (8, 4) - Agua"
2025-10-27 17:40:03.684624,"IA 2 (EASY): Disparo a Jugador en (7, 2) - Agua"
2025-10-27 17:40:25.763330,"Jugador: Disparo a Rival 2 en (3, 9) - Hundido"
2025-10-27 17:40:26.564635,"IA 1 (EASY): Disparo a Rival 2 en (1, 4) - Agua"
2025-10-27 17:40:27.364664,"IA 2 (EASY): Disparo a Jugador en (6, 5) - Agua"
2025-10-27 17:40:33.681527,"Jugador: Disparo a Rival 1 en (2, 4) - Agua"
2025-10-27 17:40:34.482122,"IA 1 (EASY): Disparo a Rival 2 en (9, 6) - Agua"
2025-10-27 17:40:35.283236,"IA 2 (EASY): Disparo a Jugador en (8, 9) - Agua"
2025-10-27 17:40:35.906407,"Jugador: Disparo a Rival 1 en (3, 4) - Agua"
2025-10-27 17:40:36.707935,"IA 1 (EASY): Disparo a Jugador en (0, 2) - Agua"
2025-10-27 17:40:37.509098,"IA 2 (EASY): Disparo a Jugador en (1, 0) - Agua"
2025-10-27 17:40:38.459416,"Jugador: Disparo a Rival 1 en (1, 4) - Tocado"
2025-10-27 17:40:39.260680,"IA 1 (EASY): Disparo a Jugador en (4, 7) - Agua"
2025-10-27 17:40:40.062038,"IA 2 (EASY): Disparo a Rival 1 en (7, 6) - Agua"
2025-10-27 17:40:40.391244,"Jugador: Disparo a Rival 1 en (1, 3) - Tocado"
2025-10-27 17:40:41.192507,"IA 1 (EASY): Disparo a Rival 2 en (2, 5) - Agua"
2025-10-27 17:40:41.993641,"IA 2 (EASY): Disparo a Rival 1 en (7, 3) - Agua"
2025-10-27 17:40:45.472693,"Jugador: Disparo a Rival 1 en (1, 2) - Tocado"
2025-10-27 17:40:46.275532,"IA 1 (EASY): Disparo a Jugador en (5, 0) - Agua"
2025-10-27 17:40:47.077627,"IA 2 (EASY): Disparo a Rival 1 en (8, 9) - Agua"
2025-10-27 17:40:47.758521,"Jugador: Disparo a Rival 1 en (1, 5) - Hundido"
2025-10-27 17:40:48.559292,"IA 1 (EASY): Disparo a Rival 2 en (0, 0) - Agua"
2025-10-27 17:40:49.361020,"IA 2 (EASY): Disparo a Jugador en (8, 1) - Hundido"
2025-10-27 17:40:52.610095,"Jugador: Disparo a Rival 1 en (1, 9) - Agua"
2025-10-27 17:40:53.411637,"IA 1 (EASY): Disparo a Jugador en (7, 6) - Hundido"
2025-10-27 17:40:54.211894,"IA 2 (EASY): Disparo a Rival 1 en (5, 2) - Agua"
2025-10-27 17:40:55.722965,"Jugador: Disparo a Rival 1 en (0, 9) - Tocado"
2025-10-27 17:40:56.525306,"IA 1 (EASY): Disparo a Jugador en (8, 6) - Agua"
2025-10-27 17:40:57.327739,"IA 2 (EASY): Disparo a Jugador en (9, 8) - Agua"
2025-10-27 17:40:58.241405,"Jugador: Disparo a Rival 1 en (0, 8) - Tocado"
2025-10-27 17:40:59.043972,"IA 1 (EASY): Disparo a Rival 2 en (7, 0) - Agua"
2025-10-27 17:40:59.844111,"IA 2 (EASY): Disparo a Rival 1 en (4, 4) - Agua"
2025-10-27 17:41:03.496161,"Jugador: Disparo a Rival 2 en (3, 0) - Agua"
2025-10-27 17:41:04.296339,"IA 1 (EASY): Disparo a Jugador en (4, 1) - Agua"
2025-10-27 17:41:05.096438,"IA 2 (EASY): Disparo a Jugador en (6, 6) - Agua"
2025-10-27 17:41:06.645496,"Jugador: Disparo a Rival 2 en (4, 0) - Agua"
2025-10-27 17:41:07.446775,"IA 1 (EASY): Disparo a Jugador en (1, 8) - Agua"
2025-10-27 17:41:08.248578,"IA 2 (EASY): Disparo a Rival 1 en (2, 2) - Agua"
